publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
2023-05-08T06:35:48Z,Tavip Ekowati,semoga yg terpilih afalah presiden pembela umat dan berkasih kpd rakyat kecil<br>sidiq<br>amanah<br>fatonah<br>amin yra❤❤❤❤,1;;;;;;;;;
2023-05-08T06:33:19Z,Alan Walker,P3 dan Hanura dah Merapat ke Pdi Perjuangan,1;;;;;;;;;
2023-05-08T06:13:30Z,dhanzz Thea,Kenapa ya capres2 nya itu2 aja... apa gak ada yg minat lg selain yg dari orang2 tsb??? Bosen pastinya gak bakal ada perubahan apa2...<br>Peminat banyak kali ya? cuma pastinya banyak penyebabnya :<br>1. Perlu dana gede<br>2. Gak mau berpolitik krn udah tau kondisi dunia politik kita<br>3. Tantangan berat ngadepin orang2 yg selama ini menjabat...<br>🤣🤣🤣🤣🤣,0;;;;;;;;;
"2023-05-08T06:12:11Z,Joko Ordumas,""Sembarang, seng penting GLORY GLORY GANJAR PRESIDEN"",0";;;;;;;;;
2023-05-08T05:55:19Z,Baru Baru,Saya tidak memilih Ganjar penghalang tuan rumahll pildun,0;;;;;;;;;
"2023-05-08T05:51:43Z,Suharno Hci,""Ya tapi kalau calon kualitas  seperti Anis? Ya percuma ,habisin anggaran saja,yg di untungkan ya parpol lagi,kebagian cuan.<br>Dr pemerintah dapat,dari bohir dapat.🤔"",0";;;;;;;;;
2023-05-08T05:50:44Z,Sange An,intinya jangan PiLiH Dari banteng merah jika ga mau hidup lo sengsara....<br>Tenggelamkan PDIP...!😎,0;;;;;;;;;
2023-05-08T05:26:24Z,User Metro,Seharusnya cukup dua pasang capres wapres sehingga hanya ada satu putaran dan tidak membutuhkan biaya yang banyak masyarakat di putaran kedua pasti kurang antusias,0;;;;;;;;;
2023-05-08T05:12:58Z,fathur rahman,Tgb calon presiden 2024,0;;;;;;;;;
2023-05-08T05:12:38Z,sakera,Anies gw🇮🇩👍,1;;;;;;;;;
2023-05-08T05:11:33Z,Aqil Kurniawan,Tetap anies di hatiku ❤,1;;;;;;;;;
2023-05-08T05:09:14Z,Abdullah Al aqil,Saya sih dukung Anies Baswedan<br>Tapi saya respacht pada calon yang lain yang penting konsisten demi kemajuan INDONESIA👍🇮🇩🇮🇩🇮🇩<br><br>Semoga saya gak di serang heett...,2;;;;;;;;;
"2023-05-08T04:40:00Z,Thanenan Sarunai,""KIB,  itu pasti dukung GP, nyatanya  P3, sdh deklarasi. Dan Golkar dan PAN hanya munggu saatnya yg baik.<br>KIB, antisipasi trio Jokowi, LBP dan AH, jika PDIP tdk calonkan GP."",0";;;;;;;;;
"2023-05-08T04:38:40Z,Mar Yono,""3/4 pasang capres lebih bagus,klu cuma 2 rawan kecurangan"",0";;;;;;;;;
"2023-05-08T04:36:00Z,Hariyanto Hariyanto,""PARTAI  PENDUKUNG  JIKA  YANG  PARTAI  PENDUKUNG  YG  KALAH  GK  USAH  DI JADIIN  MENTRI ATW YG LAIN , ENAK  AJA  UDAH  KALAH  GABUNG  KOALISI  HUH  BINGUNG !!!!"",0";;;;;;;;;
2023-05-08T03:10:04Z,yusron syarifuddin,Tinggal PAN dan golkar.. Seeprtinya PAN akan masuk ke ganjar. Tinggal golkar. Golkarbisa  ke ganjar atau ke prabowo,0;;;;;;;;;
"2023-05-08T02:33:44Z,S Ramdani,""Ridwan Kamil Presiden, Sandiaga Uno Wakil Presiden.<br><br>Saatnya yang MUDA jadi Pemimpin Indonesia.<br><br>Yang TUA , mending ISTIRAHAT aja."",0";;;;;;;;;
"2023-05-08T02:29:02Z,Zulham Azwier,""Hati-hati, Jangan Presiden berijazah palsu.                 <br>Jangan lagi pilih partai wong Licik, kapok.<br>Tidak dari keluarga PKI.<br><br>Cari Presiden Pancasila<br>1. ngerti agama<br>2. ber peri kemanusiaan<br>3. faham Persatuan<br>4, Junjung musyawarah<br>5. Punya cita-cita membuat masyarakat adil makmur.<br><br>bravo Pribumi"",1";;;;;;;;;
"2023-05-08T02:23:03Z,barbosa imran,""Prabowo udah tua, ganjar ngak punya prestasi, anis terbukti"",0";;;;;;;;;
2023-05-08T02:22:32Z,MRP KU,Capek dikibulin banteng mulu🤣,0;;;;;;;;;
2023-05-08T02:06:25Z,PANDAWA 3,Fiks saya pilih pak prabowo,0;;;;;;;;;
2023-05-08T01:54:12Z,Kodhoq Ngorex,Gak mungkin BADUT BERUBAN ini jadi Presiden.,0;;;;;;;;;
"2023-05-08T01:38:21Z,Paris 73,""Seru kalau 4 Capres yang berlaga....<br>Semakin banyak pilihan, akan semakin terbuka mata Rakyat Indonesia untuk memilih Capres yang berkualitas....<br>Nggak perlu ada penggiringan ke kata2 boncos deh..., Lebih baik keluar Dana besar yang gak seberapa di awal tapi menghasilkan Pemimpin yang berkualitas dan dapat mensejahterakan Rakyat Indonesia dan disegani oleh Negara luar...."",0";;;;;;;;;
2023-05-08T01:10:19Z,Si Boy,Wahai rakyat... Sadarlah...<br>Milih jangan yang kelihatan merakyat saja apalagi petugas partai..<br>Masih banyak org2 intelek yg lebih cerdas utk mencerdaskan rakyat dan mensejahterakan rakyatnya..,1;;;;;;;;;
